PERFORMANCE BY SECURITY,,,,,,,,,,
Group : 109780        From  01/01/2025  To  31/03/2025   Client Associates,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
Total : PE / VC,"16,06,36,831","1,40,87,160","3,68,004","1,48,43,848","18,91,99,835",8.95%,-3.95%,42.13%,-15.23%,NIFTY 500 TRI
International,,,,,,,,,,
ICICI Pru US Bluechip Equity Direct-G,"9,19,67,721",0,"4,44,58,000","-30,12,495","4,44,97,226",-3.53%,-1.68%,-13.70%,-6.70%,World Index
Total : International,"9,19,67,721",0,"4,44,58,000","-30,12,495","4,44,97,226",-3.53%,-1.68%,-13.70%,-6.70%,World Index
Real Estate & Others,,,,,,,,,,
IIFL YIELD ENHANCER FUND,"20,83,207",0,0,"-3,12,075","17,71,131",-14.98%,-4.44%,-48.60%,-17.00%,NIFTY 500 TRI
Total : Real Estate & Others,"20,83,207",0,0,"-3,12,075","17,71,131",-14.98%,-4.44%,-48.60%,-17.00%,NIFTY 500 TRI
Gold / Commodities,,,,,,,,,,
Kotak Gold Direct-G,"10,81,79,227",0,0,"1,72,92,760","12,54,71,986",15.99%,15.71%,83.71%,81.94%,Gold Bees
Total : Gold / Commodities,"10,81,79,227",0,0,"1,72,92,760","12,54,71,986",15.99%,15.71%,83.71%,81.94%,Gold Bees
Long / Short,,,,,,,,,,
Edelweiss Alternative Equity Scheme,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,"Sensex-65%, Nifty 50 Arbitrage-35%"
Total : Long / Short,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,"Sensex-65%, Nifty 50 Arbitrage-35%"
Total : Alternative,"36,28,66,986","1,40,87,160","4,48,26,004","2,88,12,037","36,09,40,179",7.96%,7.96%,36.92%,36.92%,
Liquid Equivalent,,,,,,,,,,
Liquid Equivalent,,,,,,,,,,
6,,,,,,,,,,
PRIVATE AND CONFIDENTIAL,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
AAA Liquid Plan,0,"3,00,00,000",0,"59,504","3,00,59,504",0.20%,0.20%,6.21%,6.21%,
AAA Liquid Plan,0,"1,42,50,000",0,"11,895","1,42,61,895",0.08%,0.08%,6.28%,6.28%,
AAA Liquid Plan,0,"95,70,000",0,"7,982","95,77,982",0.08%,0.08%,6.27%,6.27%,
AAA Liquid Plan,0,"30,00,000",0,"1,063","30,01,063",0.04%,0.04%,1.86%,1.86%,
Alta Cura Chameleon Liquid Fund,0,"4,00,00,000",0,"1,86,718","4,01,86,718",0.47%,0.47%,12.91%,12.91%,
Alta Cura Chameleon Liquid Fund,0,"1,00,00,000",0,"46,556","1,00,46,556",0.47%,0.47%,12.87%,12.87%,
Alta Cura Chameleon Liquid Fund,0,"50,00,000",0,"23,278","50,23,278",0.47%,0.47%,12.87%,12.87%,
Canara Robeco Liquid Direct-G,"15,76,007",0,"11,77,130","23,322","4,22,199",1.78%,1.78%,7.49%,7.49%,
DSP Liquidity Direct-G,"1,027",0,0,19,"1,046",1.84%,1.84%,7.75%,7.75%,
Edelweiss Liquid Direct-G,"48,286",0,0,885,"49,172",1.83%,1.83%,7.74%,7.74%,
ICICI Pru Liquid Direct-G,"3,39,58,142","39,09,500","51,15,734","6,14,742","3,33,66,650",1.83%,1.83%,7.72%,7.72%,
Kotak Liquid Direct-G,"5,43,51,546",0,"45,90,000","9,41,963","5,07,03,510",1.83%,1.83%,7.72%,7.72%,
Mirae Asset Liquid Direct-G,0,"84,60,000","14,10,000","45,399","70,95,400",2.04%,2.04%,8.63%,8.63%,
SBI Liquid Direct-G,"11,96,443","3,41,57,500","18,88,800","1,27,537","3,35,92,680",2.26%,2.26%,9.60%,9.60%,
SBI Liquid-G,"1,86,237",0,0,"3,333","1,89,570",1.79%,1.79%,7.55%,7.55%,
UTI Liquid Direct-G,"67,78,894",0,"43,83,950","93,609","24,88,553",1.80%,1.80%,7.58%,7.58%,
Total : Liquid Equivalent,"9,80,96,583","15,83,47,000","1,85,65,614","21,87,806","24,00,65,775",1.92%,1.92%,8.12%,8.12%,
Arbitrage,,,,,,,,,,
ICICI Pru Equity Arbitrage Direct-G,"1,54,67,104",0,"13,20,000","2,90,882","1,44,37,986",1.94%,1.94%,8.22%,8.22%,
SBI Arbitrage Opportunities Direct-G,"44,16,933",0,0,"85,788","45,02,721",1.94%,1.94%,8.21%,8.21%,
Total : Arbitrage,"1,98,84,037",0,"13,20,000","3,76,670","1,89,40,707",1.94%,1.94%,8.22%,8.22%,
Total : Liquid Equivalent,"11,79,80,620","15,83,47,000","1,98,85,614","25,64,476","25,90,06,482",1.92%,1.92%,8.13%,8.13%,
Total  ,"5,75,77,76,951","55,28,06,678","80,42,53,877","-17,13,36,733","5,33,49,93,019",-3.04%,-2.25%,-11.91%,-8.91%,
7,,,,,,,,,,
PRIVATE AND CONFIDENTIAL,,,,,,,,,,
